Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,atr_gr_id,atr_gr_tipo,atr_gr_visible,atr_gr_tiene_q,atr_gr_alerta,equip_a_codigo,equip_a_observaciones,equip_a_estado_fecha,equip_a_fecha_declaracion,estado_id,equip_b_senalizacion_ext,equip_b_acceso_modo,equip_b_nombre,cerramiento_id,acc_id,acc_dis_id,equip_b_tiene_interes,equip_b_superficie_aprox,cerramiento_material_id,web,mirador_entorno_ambiental,tipo_estructura_id,OGR_GEOM_WKT
,,,,,,-1,-1,-1,,,89172,11,false,false,,SGRAP00003,"En obras. En una pequeña zona de la carretera forestal, con un murete de piedra y acera.",2010-07-22T22:00:00Z,1996-06-19T22:00:00Z,3,false,"En la N-502, en la subida del puerto del Pico, en coche",Mirador en la N-502,1,1,2,false,0,3,,Mirador al Torozo,2,POINT (-5.016836101988829 40.309164952869835)
,,,,,,-1,-1,-1,,,89173,11,true,false,,SGRAP00020,"Señal de Vivero Forestal del Sidrillo y de limite de Parque, entrada a la pista forestal asfaltada a San Esteban del Valle.",2010-07-22T22:00:00Z,1996-06-19T22:00:00Z,1,true,"En la N-502, en el km 59,200, a un lado de la carretera, en coche",Curva del Sidrillo,3,1,2,false,0,3,,Vistas a  Cuevas del Valle.,2,POINT (-5.00481293296682 40.308663642322038)
,,,,,,-1,-1,-1,,,89174,11,false,false,,SGRAP00006,"Posibles obras, sin construir",2010-07-22T22:00:00Z,1996-06-19T22:00:00Z,4,false,"En la carretrera C-500, a la salida de Hoyos del Collado a 200 m andando desde la entrada a la finca de Hoyos, en coche",Hoyos del Collado,1,2,2,false,0,1,,Vistas al Macizo Central y vega del Tormes,3,POINT (-5.213670403521433 40.359919397283704)
,,,,,,-1,-1,-1,,,89572,11,true,false,,VLIMR00002,,2010-01-10T23:00:00Z,1997-06-16T22:00:00Z,1,true,,Risquillo Hambriento,1,1,2,false,0,1,,Valle del Tiemblo y Valle de Iruelas,2,POINT (-4.595096149505615 40.355225315288273)
,,,,,,-1,-1,-1,,,89573,11,true,true,,VLIMR00003,,2010-01-10T23:00:00Z,2007-03-31T22:00:00Z,1,false,,San Gregorio,3,1,1,false,0,11,,,2,POINT (-4.508846547219409 40.384160831595409)
,,,,,,-1,-1,-1,,,89574,11,true,true,,VLIMR00004,Pendiente la cartelería accesible,2010-04-04T22:00:00Z,1997-06-16T22:00:00Z,1,false,,Mirador Senda Accesible,2,1,1,false,0,9,,Embalse y paisaje de vegetación mediterránea,2,POINT (-4.564107006052638 40.421569251766826)
,,,,,,-1,-1,-1,,,77648,11,true,true,,CRLMR00002,,2010-04-15T22:00:00Z,1989-01-14T23:00:00Z,1,true,Sendero,Mirador de las Gullurias,2,1,2,true,0,15,,,3,POINT (-3.06357149824138 41.740883022830872)
,,,,,,-1,-1,-1,,,77650,11,true,true,,CRLMR00004,,2010-04-15T22:00:00Z,1989-01-14T23:00:00Z,1,true,Pista forestal desde Hontoria del Pinar.,Mirador de Costalago,3,1,2,true,0,15,,,3,POINT (-3.174219070331299 41.815381774334128)
,,,,,,-1,-1,-1,,,88855,11,true,false,,RCDMR00002,"El mirador se ubica en terrenos de un particular, aunque su propiedad es de la Consejería",2009-11-08T23:00:00Z,2002-04-10T22:00:00Z,1,false,,Mirador del Pinar,3,1,2,false,0,9,,,2,POINT (-5.267446149723203 41.401393017993755)
,,,,,,-1,-1,-1,,,88856,11,true,false,,RCDMR00003,Situado en terrenos de cañada,2009-11-08T23:00:00Z,2002-04-10T22:00:00Z,1,false,,Mirador de Cartago,3,1,2,false,0,9,,,1,POINT (-5.089195065064106 41.485388527000083)
