Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,atr_gr_id,atr_gr_tipo,atr_gr_visible,atr_gr_tiene_q,atr_gr_alerta,equip_a_codigo,equip_a_observaciones,equip_a_estado_fecha,equip_a_fecha_declaracion,estado_id,equip_b_senalizacion_ext,equip_b_acceso_modo,equip_b_nombre,cerramiento_id,acc_id,acc_dis_id,equip_b_tiene_interes,equip_b_superficie_aprox,cerramiento_material_id,web,OGR_GEOM_WKT
,,,,,,-1,-1,-1,,,89347,16,true,false,,SGRZA00001,,2011-06-12T22:00:00Z,1996-06-19T22:00:00Z,2,false,,Las Maliciosas,4,3,2,false,0,4,,POINT (-5.149055485371441 40.338484966585952)
,,,,,,-1,-1,-1,,,89348,16,true,false,,SGRZA00002,"Campamento juvenil de Arbillas, con 5 cabañas octogonales para unos 12 niños, comedor cubierto con 15 mesas y bancos de madera para 6 personas cada una, pequeño almacén cubierto, 4 duchas y servicios separados. Instalación de luz, con farolas y bombillas",2011-06-12T22:00:00Z,1996-06-19T22:00:00Z,4,false,,Arbillas,4,3,2,false,0,4,,POINT (-5.148942744749792 40.188479582175113)
,,,,,,-1,-1,-1,,,89349,16,true,false,,SGRZA00003,Sin instalaciones. Próximo al camping de Bohoyo. Con robles y pradera. Camino de tierra y cerca de la Garganta. 1 hectárea,2011-06-12T22:00:00Z,1996-06-19T22:00:00Z,4,false,,Pasarelas Del Prado,4,3,2,false,0,4,,POINT (-5.429818766151702 40.31133967275305)
,,,,,,-1,-1,-1,,,89350,16,true,false,,SGRZA00004,"Edificio grande, con cocina y almacén. De 2,58 hectáreas. Próximo a la carretera. Con sombra. Depósitos y fosa séptica. 1,8 hectáreas de pradera.",2011-06-12T22:00:00Z,1996-06-19T22:00:00Z,2,false,,Prado Las Piezas,4,3,2,false,0,4,,POINT (-5.430036746332008 40.314136540050981)
,,,,,,-1,-1,-1,,,89351,16,true,false,,SGRZA00005,"En mal estado. Cerca de la Garganta de Bohoyo. Con un servicio. 0,6 hectáreas. Pinar y pradera. Próximo a la carretera de Navamediana.",2011-06-12T22:00:00Z,1996-06-19T22:00:00Z,4,false,,Las Piezas,4,3,2,false,0,4,,POINT (-5.432159412208338 40.31426305542022)
,,,,,,-1,-1,-1,,,89352,16,true,false,,SGRZA00006,"Sin instalaciones. 0,2 hectáreas. Pradera. En mal estado y difícil de localizar. Próximo a 373 m.",2011-06-12T22:00:00Z,1996-06-19T22:00:00Z,4,false,,Las Vegas,4,3,2,false,0,4,,POINT (-5.443040010559332 40.32817597385322)
,,,,,,-1,-1,-1,,,89353,16,true,false,,SGRZA00007,"Sin instalaciones. Al norte del río Tormes. Próximo al puente y chiringuito. Visible desde la carretera. 1,8 hectáreas. Tiene un edificio de almacén.",2011-06-12T22:00:00Z,1996-06-19T22:00:00Z,4,false,,Prado De La Vega,4,3,2,false,0,4,,POINT (-5.441747293738939 40.328230308465287)
,,,,,,-1,-1,-1,,,89354,16,true,false,,SGRZA00008,"Comedor grande abierto. Cocina cerrada. Servicios, almacén, dependencias de monitores. Pradera. Arbolado (Chopos, sauces, olmos, seto arizónica). Junto Garganta Alardos. 1 hectárea. Cerca 395",2011-06-12T22:00:00Z,1996-06-19T22:00:00Z,1,false,,El Freillo (El Raso),4,3,2,false,0,4,,POINT (-5.364726102616967 40.187495790409152)
,,,,,,-1,-1,-1,,,89355,16,true,false,,SGRZA00009,"Campamento juvenil de La Mata. Con 6 cabañas de madera y base de piedra, comedor abierto con 15 mesas y bancos de madera, fregaderos y edificio de servicios. Ocupa cerca de 1/2 Ha. Señal del Parque que indica campamento juvenil con 5 iconos en 2 postes d",2011-06-12T22:00:00Z,1996-06-19T22:00:00Z,3,false,,La Mata,4,3,2,false,0,4,,POINT (-5.10264224615019 40.27284258907094)
,,,,,,-1,-1,-1,,,89356,16,true,false,,SGRZA00010,"Campamento con cabañas de madera, comedor cubierto con 15 mesas, zona de juegos, edificio con cocina y almacén. En construcción nuevos servicios conectados a la depuradora del camping. Instalaciones de Camping sin abrir.",2011-06-12T22:00:00Z,1996-06-19T22:00:00Z,1,false,,El Tejar,4,3,2,false,0,4,,POINT (-5.091642232875693 40.23807264671359)
,,,,,,-1,-1,-1,,,89357,16,true,false,,SGRZA00011,"3 edificios. Zona llana de pradera. Aparcamiento con sombra, 0,75 hectáreas y muy próximo a la gravera de Gilgarcía",2011-06-12T22:00:00Z,1996-06-19T22:00:00Z,1,false,,Prado Juan Ramos,4,3,2,false,0,4,,POINT (-5.600517257486887 40.307923394063124)
,,,,,,-1,-1,-1,,,89358,16,true,false,,SGRZA00012,"Entrada en la subida al Nogal del Barranco. Aparcamiento en la entrada, en una zona ensanchada a la pista forestal de subida al Nogal del Barranco, para unos 12 coches. Campamento con 5 cabañas de madera octogonales para 12 niños, comedor cubierto con 1",2011-06-12T22:00:00Z,1996-06-19T22:00:00Z,1,false,,Vega Reina,4,3,2,false,0,4,,POINT (-5.160322156466163 40.230922579391752)
,,,,,,-1,-1,-1,,,89359,16,true,false,,SGRZA00013,"3 edificios. Agua de la regadera de los Llanos a 1,5 metros. Limita al sur del río Tormes. Servicios, Almacén, comedor, acceso por pista de tierra. Con portera. Mucho arbolado y prado",2011-06-12T22:00:00Z,1996-06-19T22:00:00Z,3,false,,Prado La Roza,4,3,2,false,0,4,,POINT (-5.142162113771657 40.245252551696609)
,,,,,,-1,-1,-1,,,89360,16,true,false,,SGRZA00014,"Campamento juvenil en finca particular con instalaciones fijas en malas condiciones. Entrada desde la pista del Hoyuelo por camino. Portera con somier, sin valla salvo la cinta de obras que sitúan para limitar la entrada al resto de la finca. Edifico peq",2011-06-12T22:00:00Z,1996-06-19T22:00:00Z,4,false,,El Hoyuelo,4,3,2,false,0,4,,POINT (-5.142162113771657 40.245252551696609)
,,,,,,-1,-1,-1,,,89361,16,true,false,,SGRZA00015,"Campamento juvenil de Daniel de Fernando, próximo al río Cuevas. Buenas instalaciones en finca de unos 12.000 m2. Con comedor cubierto, edificio de almacén y cocina, fuentes y zona para tiendas.Entrada de tierra y pista interior.",2011-06-12T22:00:00Z,1996-06-19T22:00:00Z,1,false,,La Casilla,4,3,2,false,0,4,,POINT (-5.130952165684856 40.239212541057299)
,,,,,,-1,-1,-1,,,89362,16,true,false,,SGRZA00016,Sin instalaciones. Pradera con pinos grandes en el lado izquierdo de la carretera de la plataforma. Se entra por una portera de hierro y está 200 metros.,2011-06-12T22:00:00Z,1996-06-19T22:00:00Z,4,false,,El Baldio,4,3,2,false,0,4,,POINT (-5.180576242328527 40.333127030818488)
,,,,,,-1,-1,-1,,,89363,16,true,false,,SGRZA00017,Sin instalaciones. Pradera con pinos grandes en el lado izquierdo de la carretera de la plataforma. Se entra por una portera de hierro y a 200 metros se encuentra.,2011-06-12T22:00:00Z,1996-06-19T22:00:00Z,4,false,,La Solana,4,3,2,false,0,4,,POINT (-5.180576242328527 40.333127030818488)
